source,target,generes
Paloma Mami,Polimá Westcoast,"['trap chileno', 'trap triste', 'urbano chileno']"
Paloma Mami,Gianluca,"['neoperreo', 'reggaeton chileno', 'trap chileno']"
Paloma Mami,NATHY PELUSO,"['r&b en espanol', 'rap latina']"
Paloma Mami,Young Cister,"['trap chileno', 'urbano chileno']"
Paloma Mami,Cazzu,"['argentine hip hop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino', 'urbano latino']"
Paloma Mami,Moral Distraida,"['chilean indie', 'chilean rock', 'cumbia chilena', 'pop chileno']"
Paloma Mami,Pablo Chill-E,"['trap chileno', 'urbano chileno', 'urbano latino']"
Paloma Mami,Bad Gyal,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
Paloma Mami,Los Power,['reggaeton chileno']
Rosalia,Ana Mena,['spanish pop']
Ana Mena,Vicco,[]
Ana Mena,Chanel,[]
Ana Mena,Lola Indigo,"['latin viral pop', 'spanish pop']"
Ana Mena,Ana Guerra,"['latin pop', 'latin talent show', 'spanish pop']"
Ana Mena,Edurne,"['latin arena pop', 'spanish pop']"
Ana Mena,Álvaro De Luna,['spanish pop']
Ana Mena,Abraham Mateo,"['latin arena pop', 'latin pop', 'latin viral pop', 'reggaeton', 'spanish pop']"
Ana Mena,Aitana,"['latin talent show', 'latin viral pop', 'spanish pop']"
Ana Mena,Lérica,['spanish pop']
Ana Mena,DePol,[]
Ana Mena,Nil Moliner,['spanish pop']
Ana Mena,Blas Cantó,['spanish pop']
Ana Mena,Belén Aguilera,['spanish pop']
Ana Mena,Dani Fernández,['spanish pop']
Ana Mena,Sweet California,['latin viral pop']
Ana Mena,Bombai,['spanish pop']
Ana Mena,Omar Montes,"['flamenco urbano', 'pop flamenco', 'urbano espanol']"
Ana Mena,MARLENA,['spanish pop']
Ana Mena,Miriam Rodríguez,['latin talent show']
Ana Mena,India Martinez,"['latin arena pop', 'pop flamenco', 'spanish pop']"
Rosalia,Mala Rodríguez,"['latin hip hop', 'rap latina']"
Mala Rodríguez,Arianna Puello,"['rap underground espanol', 'spanish hip hop']"
Mala Rodríguez,Violadores Del Verso,"['boom bap espanol', 'rap underground espanol', 'spanish hip hop', 'venezuelan hip hop']"
Mala Rodríguez,Ana Tijoux,"['chilean rock', 'latin alternative', 'latintronica', 'rap chileno', 'rap feminino chileno', 'rap latina', 'rap politico']"
Mala Rodríguez,Gata Cattana,"['rap canario', 'rap latina', 'rap politico', 'spanish hip hop', 'urbano espanol']"
Mala Rodríguez,Bebe,['spanish pop']
Mala Rodríguez,SFDK,"['rap politico', 'rap underground espanol', 'spanish hip hop']"
Mala Rodríguez,Kase.O,"['rap politico', 'spanish hip hop']"
Mala Rodríguez,ToteKing,"['boom bap espanol', 'rap underground espanol', 'spanish hip hop']"
Mala Rodríguez,R De Rumba,"['rap underground espanol', 'spanish hip hop']"
Mala Rodríguez,7 Notas 7 Colores,['spanish hip hop']
Mala Rodríguez,Shotta,"['rap politico', 'spanish hip hop']"
Mala Rodríguez,Sara Hebe,"['argentine indie', 'rap latina', 'rap politico']"
Mala Rodríguez,Orishas,"['conscious hip hop', 'cuban alternative', 'hip hop cubano', 'latin alternative', 'latin hip hop']"
Mala Rodríguez,Falsalarma,"['rap conciencia', 'spanish hip hop']"
Mala Rodríguez,Rapsusklei,"['boom bap espanol', 'rap conciencia', 'spanish hip hop']"
Mala Rodríguez,NATHY PELUSO,"['r&b en espanol', 'rap latina']"
