N.º	País	Intérprete(s)	Canción	Lugar	Puntos	#	Pts.	Intérprete
4.0	Irlanda	Dervish	«They Can't Stop The Spring»	24	5.0			
5.0	Finlandia	Hanna Pakarinen	«Leave Me Alone»	17	53.0			
6.0	Macedonia (ARY)	Karolina Gočeva	«Mojot Svet»	14	73.0			
7.0	Eslovenia	Alenka Gotar	«Cvet z Juga»	15	66.0			
8.0	Hungría	Magdi Rúzsa	«Unsubstantial Blues»	9	128.0			
9.0	Lituania	4Fun	«Love Or Leave»	21	28.0			
10.0	Grecia	Sarbel	«Yassou Maria»	7	139.0			
11.0	Georgia	Sopho	«Visionary Dream»	12	97.0			
12.0	Suecia	The Ark	«The Worrying Kind»	18	51.0			
13.0	Francia	Les Fatals Picards	«L'amour à La Française»	22	19.0			
14.0	Letonia	Bonaparti.lv	«Questa Notte»	16	54.0			
15.0	Rusia	Serebró	«Song Nº1»	3	207.0			
16.0	Alemania	Roger Cicero	«Frauen Regier'n Die Welt»	19	49.0			
17.0	Serbia	Marija Šerifović	«Molitva»	1	268.0			
18.0	Ucrania	Verka Serdyuchka	«Dancing Lasha Tumbai»	2	235.0			
19.0	Reino Unido	Scooch	«Flying The Flag»	23	19.0			
20.0	Rumania	Todomondo	«Liubi, Liubi, I Love You»	13	84.0			
21.0	Bulgaria	Elitsa Todorova & Stoyan Yankulov	«Water»	5	157.0			
22.0	Turquía	Kenan Doğulu	«Shake It Up, Shekerim»	4	163.0			
23.0	Armenia	Hayko	«Anytime You Need»	8	138.0			
24.0	Moldavia	Natalia Barbu	«Fight»	10	109.0			
1.0	Rumania	Nico y Vlad Miriţă	«Pe-o margine de lume»	20			45.0	
2.0	Reino Unido	Andy Abraham	«Even if»	23			14.0	
3.0	Albania	Olta Boka	«Zemrën lamë peng»	17			55.0	
4.0	Alemania	No Angels	«Disappear»	23			14.0	
5.0	Armenia	Sirusho	«Qele qele»	4			199.0	
6.0	Bosnia y Herzegovina	Elvir Laković	«Pokušaj»	10			110.0	
7.0	Israel	Boaz Mauda	«The fire in your eyes»	9			124.0	
8.0	Finlandia	Teräsbetoni	«Missä miehet ratsastaa»	22			35.0	
9.0	Croacia	Kraljevi Ulice y 75 cents	«Romanca»	21			44.0	
10.0	Polonia	Isis Gee	«For life»	23			14.0	
11.0	Islandia	Eurobandið	«This is my life»	14			64.0	
12.0	Turquía	Mor ve Ötesi	«Deli»	7			138.0	
13.0	Portugal	Vânia Fernandes	«Senhora do mar (Negras aguas)»	13			69.0	
14.0	Letonia	Pirates of the Sea	«Wolves of the sea»	12			83.0	
15.0	Suecia	Charlotte Perrelli	«Hero»	18			47.0	
16.0	Dinamarca	Simon Mathew	«All night long»	15			60.0	
17.0	Georgia	Diana Gurtskaya	«Peace will come»	11			83.0	
18.0	Ucrania	Ani Lorak	«Shady lady»	2			230.0	
19.0	Francia	Sébastien Tellier	«Divine»	19			47.0	
20.0	Azerbaiyán	Elnur Hüseynov y Samir Javadzadeh	«Day after day»	8			132.0	
21.0	Grecia	Kalomira	«Secret combination»	3			218.0	
22.0	España	Rodolfo Chikilicuatre	«Baila el Chiki-chiki»	16			55.0	
23.0	Serbia	Jelena Tomašević feat. Bora Dugić	«Oro»	6			160.0	
24.0	Rusia	Dima Bilán	«Believe»	1			272.0	
25.0	Noruega	Maria Haukaas Storeng	«Hold on, be strong»	5			182.0	
	Lituania	Sasha Son	«Love»	23	23.0	1.0		
	Israel	Noa & Mira Awad	«There Must Be Another Way»	16	53.0	2.0		
	Francia	Patricia Kaas	«Et s'il fallait le faire»	8	107.0	3.0		
	Suecia	Malena Ernman	«La Voix»	21	33.0	4.0		
	Croacia	Igor Cukrov y Andrea Šušnjara	«Lijepa Tena»	18	45.0	5.0		
	Portugal	Flor-de-Lis	«Todas as ruas do amor»	15	57.0	6.0		
	Islandia	Yohanna	«Is it true?»	2	218.0	7.0		
	Grecia	Sakis Rouvas	«This is our night»	7	120.0	8.0		
	Armenia	Inga & Anush	«Nor par (Jan Jan)»	10	92.0	9.0		
	Rusia	Anastasija Prikhodko	«Mamo»	11	91.0	10.0		
	Azerbaiyán	AySel y Arash	«Always»	3	207.0	11.0		
	Bosnia y Herzegovina	Regina	«Bistra voda»	9	106.0	12.0		
	Moldavia	Nelly Ciobanu	«Hora din Moldova»	14	69.0	13.0		
	Malta	Chiara	«What if we?»	22	31.0	14.0		
	Estonia	Sandra Nurmsalu feat. Urban Symphony	«Rändajad»	6	129.0	15.0		
	Dinamarca	Niels Brinck	«Believe Again»	13	74.0	16.0		
	Alemania	Alex Swings Oscar Sings	«Miss Kiss Kiss Bang»	20	35.0	17.0		
	Turquía	Hadise	«Düm Tek Tek»	4	177.0	18.0		
	Albania	Kejsi Tola	«Carry me in your dreams»	17	48.0	19.0		
	Noruega	Alexander Rybak	«Fairytale»	1	387.0	20.0		
	Ucrania	Svetlana Loboda	«Be My Valentine!»	12	76.0	21.0		
	Rumanía	Elena Gheorghe	«The Balkan girls»	19	40.0	22.0		
	Reino Unido	Jade Ewen	«It's My Time»	5	173.0	23.0		
	Finlandia	Waldo's People	«Lose Control»	25	22.0	24.0		
	España	Soraya Arnelas	«La noche es para mí»	24	23.0	25.0		
1.0	Azerbaiyán	Safura Alizadeh	«Drip Drop»	5			145.0	
2.0	España	Daniel Diges	«Algo pequeñito»	15			68.0	
3.0	Noruega	Didrik Solli-Tangen	«My heart is yours»	20			35.0	
4.0	Moldavia	SunStroke Project & Olia Tira	«Run Away»	22			27.0	
5.0	Chipre	Jon Lilygreen & The Islanders	«Life looks better in spring»	21			27.0	
6.0	Bosnia y Herzegovina	Vukasin Brajic	«Thunder and lightning»	17			51.0	
7.0	Bélgica	Tom Dice	«Me and my guitar»	6			143.0	
8.0	Serbia	Milan Stanković	«Ovo je Balkan»	13			72.0	
9.0	Bielorrusia	3+2 junto a Robert Wells	«Butterflies»	24			18.0	
10.0	Irlanda	Niamh Kavanagh	«It's for you»	23			25.0	
11.0	Grecia	Giorgos Alkaios	«OPA!»	8			140.0	
12.0	Reino Unido	Josh Dubovie	«That sounds good to me»	25			10.0	
13.0	Georgia	Sopho Nizharadze	«Shine»	9			136.0	
14.0	Turquía	maNga	«We could be the same»	2			170.0	
15.0	Albania	Juliana Pasha	«It's all about you»	16			62.0	
16.0	Islandia	Hera Björk	«Je ne sais quoi»	19			41.0	
17.0	Ucrania	Alyosha	«Sweet people»	10			108.0	
18.0	Francia	Jessy Matador	«Allez! Ola! Olé!»	12			82.0	
19.0	Rumania	Paula Seling & Ovi	«Playing with Fire»	3			162.0	
20.0	Rusia	Peter Nalitch	«Lost and forgotten»	11			90.0	
21.0	Armenia	Eva Rivas	«Apricot stone»	7			141.0	
22.0	Alemania	Lena	«Satellite»	1			246.0	
23.0	Portugal	Filipa Azevedo	«Há dias assim»	18			43.0	
24.0	Israel	Harel Skaat	«Milim»	14			71.0	
25.0	Dinamarca	Chanée & N'evergreen	«In a moment like this»	4			149.0	
1.0	Finlandia	Paradise Oskar	«Da, da, dam»	21			57.0	
